DATE,OPP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,REB,AST,STL,BLK,TOV
2023-01-18,MIN,W (+4),31:12,31,12,20,.600,0,0,,11,13,1,0,3
2023-01-18,MIN,W (+4),31:12,31,12,20,.600,0,0,,11,13,1,0,3
